repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms
8,1000000,8,512,mixed,1024,1024,0,0,169.650,1.835,3.020,6.978
9,1000000,8,512,mixed,1024,1024,0,0,160.056,1.784,2.918,4.572
10,1000000,8,512,mixed,1024,1024,0,0,177.392,1.832,2.974,4.649
1,1000000,16,128,mixed,1024,1024,0,0,160.159,1.822,2.872,4.263
2,1000000,16,128,mixed,1024,1024,0,0,160.757,1.815,2.959,6.633
3,1000000,16,128,mixed,1024,1024,0,0,159.045,1.719,2.701,4.222
4,1000000,16,128,mixed,1024,1024,0,0,162.212,1.839,3.068,5.840
5,1000000,16,128,mixed,1024,1024,0,0,163.514,1.825,2.938,7.859
6,1000000,16,128,mixed,1024,1024,0,0,160.113,1.783,2.879,5.868
7,1000000,16,128,mixed,1024,1024,0,0,167.818,1.848,2.981,4.364
8,1000000,16,128,mixed,1024,1024,0,0,177.722,2.367,5.940,10.679
9,1000000,16,128,mixed,1024,1024,0,0,175.032,2.733,7.229,11.268
10,1000000,16,128,mixed,1024,1024,0,0,211.164,2.295,3.824,6.650
1,1000000,16,512,mixed,1024,1024,0,0,156.563,1.839,3.197,4.766
2,1000000,16,512,mixed,1024,1024,0,0,160.406,1.852,3.178,5.210
3,1000000,16,512,mixed,1024,1024,0,0,160.045,1.729,2.700,5.121
4,1000000,16,512,mixed,1024,1024,0,0,162.064,1.845,2.856,5.912
5,1000000,16,512,mixed,1024,1024,0,0,168.148,2.246,4.640,8.508
6,1000000,16,512,mixed,1024,1024,0,0,159.115,1.712,2.701,4.112
7,1000000,16,512,mixed,1024,1024,0,0,168.595,2.634,9.803,16.391
8,1000000,16,512,mixed,1024,1024,0,0,164.862,2.212,5.590,10.240
9,1000000,16,512,mixed,1024,1024,0,0,170.576,1.831,2.870,4.586
10,1000000,16,512,mixed,1024,1024,0,0,164.116,1.825,2.868,4.599
