repeat_index,model,scenario_id,phase,description,dataset_rows,workload,concurrency,total_requests,workers,queue_size,driver,success_requests,rejected_requests,error_requests,throughput_rps,avg_ms,p95_ms,p99_ms,max_ms,real_seconds,user_seconds,sys_seconds,cpu_util_percent,max_rss_kb,voluntary_ctx,involuntary_ctx
4,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4184.233,4.396,9.639,11.910,13.535,0.330,0.110,0.020,39.394,6127616.0,922.0,598.0
5,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4151.767,5.365,14.222,19.130,23.371,0.340,0.110,0.020,38.235,6127616.0,951.0,442.0
6,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4700.558,4.264,9.658,12.038,15.208,0.330,0.110,0.020,39.394,6111232.0,954.0,463.0
7,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4742.461,4.371,10.039,12.040,14.559,0.330,0.110,0.020,39.394,6144000.0,968.0,419.0
8,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4956.975,4.089,8.646,10.688,15.468,0.320,0.110,0.020,40.625,6111232.0,957.0,438.0
9,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4358.586,4.321,10.865,15.119,19.966,0.320,0.110,0.020,40.625,6144000.0,980.0,464.0
10,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,5019.286,3.896,8.240,10.856,12.922,0.310,0.100,0.020,38.710,6111232.0,963.0,404.0
1,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,5001.579,4.197,10.530,12.697,13.545,0.300,0.110,0.040,50.000,6979584.0,1386.0,985.0
2,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4216.773,4.155,10.618,12.550,15.561,0.330,0.110,0.040,45.455,6979584.0,1333.0,1193.0
3,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4274.905,4.708,12.600,16.124,22.288,0.340,0.110,0.040,44.118,6864896.0,1336.0,1227.0
4,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4691.593,4.375,10.294,12.895,17.553,0.320,0.110,0.040,46.875,6979584.0,1416.0,1201.0
5,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4497.493,4.175,10.494,13.328,18.293,0.330,0.110,0.040,45.455,6848512.0,1394.0,1122.0
6,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4688.963,4.199,10.322,12.706,13.767,0.310,0.110,0.030,45.161,6848512.0,1388.0,970.0
7,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4215.654,3.942,8.593,11.117,14.518,0.330,0.110,0.040,45.455,6701056.0,1344.0,1235.0
8,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4356.211,4.643,10.808,14.792,22.579,0.330,0.110,0.040,45.455,6930432.0,1335.0,1150.0
9,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4716.139,3.693,8.859,11.484,15.230,0.320,0.110,0.040,46.875,6799360.0,1419.0,1073.0
10,thread_per_request,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4929.464,4.115,9.744,13.377,17.033,0.310,0.110,0.030,45.161,6848512.0,1382.0,1038.0
