repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
7,100000,4,128,mixed,5000,132,4868,0,557.686,429.568,526.772,552.161,{}
8,100000,4,128,mixed,5000,132,4868,0,574.946,451.005,542.668,569.978,{}
9,100000,4,128,mixed,5000,132,4868,0,555.614,423.123,521.866,549.911,{}
10,100000,4,128,mixed,5000,132,4868,0,598.704,459.592,558.377,592.597,{}
1,100000,4,256,mixed,5000,260,4740,0,580.493,442.840,563.421,574.468,{}
2,100000,4,256,mixed,5000,260,4740,0,592.411,461.874,575.429,585.846,{}
3,100000,4,256,mixed,5000,260,4740,0,710.720,566.698,694.047,704.360,{}
4,100000,4,256,mixed,5000,260,4740,0,733.889,588.762,717.324,726.528,{}
5,100000,4,256,mixed,5000,260,4740,0,588.433,435.751,568.772,580.255,{}
6,100000,4,256,mixed,5000,260,4740,0,594.372,463.806,578.003,587.617,{}
7,100000,4,256,mixed,5000,260,4740,0,579.549,433.389,550.740,573.662,{}
8,100000,4,256,mixed,5000,260,4740,0,658.803,493.869,641.636,651.792,{}
9,100000,4,256,mixed,5000,260,4740,0,551.549,418.696,524.344,545.494,{}
10,100000,4,256,mixed,5000,260,4740,0,570.330,445.190,555.331,564.665,{}
1,100000,4,512,mixed,5000,516,4484,0,550.409,420.892,523.929,543.040,{}
2,100000,4,512,mixed,5000,516,4484,0,562.751,441.910,547.208,555.461,{}
3,100000,4,512,mixed,5000,516,4484,0,565.512,433.803,540.790,559.005,{}
4,100000,4,512,mixed,5000,516,4484,0,568.836,443.263,552.444,561.629,{}
5,100000,4,512,mixed,5000,516,4484,0,552.532,422.107,527.742,545.671,{}
6,100000,4,512,mixed,5000,516,4484,0,543.852,419.004,528.066,537.321,{}
7,100000,4,512,mixed,5000,516,4484,0,543.338,404.834,519.094,528.517,{}
8,100000,4,512,mixed,5000,516,4484,0,582.909,458.261,564.617,575.842,{}
9,100000,4,512,mixed,5000,516,4484,0,566.313,428.234,542.868,552.903,{}
10,100000,4,512,mixed,5000,516,4484,0,540.327,403.623,521.972,533.173,{}
1,100000,8,32,mixed,5000,40,4960,0,656.229,487.251,615.633,640.588,{}
2,100000,8,32,mixed,5000,40,4960,0,581.439,442.836,550.299,576.340,{}
3,100000,8,32,mixed,5000,40,4960,0,580.115,457.653,542.527,567.995,{}
4,100000,8,32,mixed,5000,40,4960,0,530.646,414.454,500.130,525.277,{}
5,100000,8,32,mixed,5000,40,4960,0,595.609,464.300,559.137,584.690,{}
6,100000,8,32,mixed,5000,40,4960,0,580.071,448.727,548.634,575.417,{}
7,100000,8,32,mixed,5000,40,4960,0,593.986,462.976,559.620,583.006,{}
8,100000,8,32,mixed,5000,40,4960,0,546.531,419.593,515.568,541.014,{}
9,100000,8,32,mixed,5000,40,4960,0,586.875,456.794,555.382,582.398,{}
10,100000,8,32,mixed,5000,195,4805,0,4021.400,439.475,511.782,4014.475,{}
1,100000,8,64,mixed,5000,72,4928,0,566.910,450.775,536.148,562.308,{}
2,100000,8,64,mixed,5000,72,4928,0,534.820,405.498,503.227,529.095,{}
3,100000,8,64,mixed,5000,72,4928,0,547.917,426.052,517.354,542.187,{}
4,100000,8,64,mixed,5000,72,4928,0,562.768,419.676,527.804,557.247,{}
5,100000,8,64,mixed,5000,72,4928,0,579.673,452.962,549.459,574.245,{}
6,100000,8,64,mixed,5000,72,4928,0,552.421,423.381,522.119,547.073,{}
7,100000,8,64,mixed,5000,72,4928,0,531.524,413.204,502.811,526.608,{}
8,100000,8,64,mixed,5000,72,4928,0,608.815,477.593,577.636,603.522,{}
9,100000,8,64,mixed,5000,72,4928,0,579.047,441.217,548.405,573.619,{}
10,100000,8,64,mixed,5000,72,4928,0,685.735,553.447,644.802,680.493,{}
1,100000,8,128,mixed,5000,136,4864,0,608.276,487.935,575.076,603.235,{}
2,100000,8,128,mixed,5000,136,4864,0,595.620,445.964,548.332,589.946,{}
3,100000,8,128,mixed,5000,136,4864,0,602.363,474.985,569.324,596.454,{}
4,100000,8,128,mixed,5000,136,4864,0,627.580,495.369,586.119,613.310,{}
5,100000,8,128,mixed,5000,136,4864,0,607.984,456.552,575.127,602.018,{}
6,100000,8,128,mixed,5000,136,4864,0,617.624,472.758,577.630,604.989,{}
7,100000,8,128,mixed,5000,136,4864,0,582.555,449.432,549.610,576.586,{}
8,100000,8,128,mixed,5000,136,4864,0,614.844,483.483,574.997,601.876,{}
9,100000,8,128,mixed,5000,136,4864,0,550.236,425.715,518.635,545.046,{}
10,100000,8,128,mixed,5000,136,4864,0,612.334,464.316,573.443,599.251,{}
